round;attitude;compass;error_attitude;error_compass
0;166.8;176.6;0;0
1;200;169.8;33.2;-6.8
2;233.8;168.1;67.0;-8.5
3;267.7;168.4;100.9;-8.2
4;301.9;168.2;135.1;-8.4
5;335.4;169;168.6;-7.59999999999999
6;8.7;176.4;201.9;-0.2
7;42;176.3;235.2;-0.3
8;76.6;177.1;269.8;0.5
9;110.3;177.4;303.5;0.8
10;144;177.8;337.2;1.2
