round;attitude;compass;error_attitude;error_compass
0;269.6;189.8;0;0
1;304.2;191;34.6;1.19999999999999
2;337.9;190.5;68.3;0.7
3;10.8;190.4;101.2;0.6
4;45.2;190.6;135.6;0.8
5;78.1;190.4;168.5;0.6
6;111.2;190.2;201.6;0.4
7;145;189.6;235.4;-0.2
8;179.2;189.7;269.6;-0.1
9;212.5;189.4;302.9;-0.4
10;247.2;191.1;337.6;1.3
