round;attitude;compass;error_attitude;error_compass
0;11.8;10;0;0
1;343.2;9.8;-28.6;-0.2
2;314;11;-57.8;1
3;287.1;12.2;-84.7;2.2
4;257.9;11.8;-113.9;1.8
5;229.3;12.4;-142.5;2.4
6;200.3;12.3;-171.5;2.3
7;171.8;11.8;-200.0;1.8
8;143.8;12.7;-228.0;2.7
9;116.7;10.1;-255.1;0.1
10;86.2;12.3;-285.6;2.3
