measurement;proximity;rssi;accuracy
1;2;-64;0.847005900982705
2;2;-64;0.804379745362086
3;2.34375;-69;1.6684447601142
4;2;-69;1.56690399737974
5;2;-67;1.219296070815550
6;2.84313725490196;-73;2.75127970594043
7;2;-60;0.544030368159248
8;2.75531914893617;-78;4.01410414770138
9;3;-82;8.73094698652755
