proximityRef;timestamp;rssi;accuracy;proximity
3.0;18:07:52;-73;3.16377668956844;Near
3.0;18:07:53;-72;2.99489265672433;Near
3.0;18:07:54;-71;2.77734559651428;Near
3.0;18:07:55;-72;2.70152789023878;Near
3.0;18:07:56;-72;2.64282446130593;Near
3.0;18:07:57;-74;2.74156769002323;Near
3.0;18:07:58;-76;2.93977928310718;Near
3.0;18:07:59;-84;3.40694327166383;Near
3.0;18:08:00;-85;3.87544759942896;Near
3.0;18:08:01;-85;4.31489165813247;Near
3.0;18:08:02;-84;4.69376106021178;Near
3.0;18:08:03;-84;5.04322065546733;Near
3.0;18:08:04;-85;5.39983937501124;Far
3.0;18:08:05;-85;5.73485896582995;Far
3.0;18:08:06;-85;6.05018072150358;Far
3.0;18:08:07;-86;6.38069118945267;Far
3.0;18:08:08;-85;6.66143591128123;Far
3.0;18:08:09;-84;6.88695216403836;Far
3.0;18:08:10;-85;7.13851893485117;Far
3.0;18:08:11;-86;7.41384705878583;Far
3.0;18:08:12;-86;7.67788305653271;Far
3.0;18:08:13;-86;7.93112698439918;Far
3.0;18:08:14;-84;8.08922525164949;Far
3.0;18:08:15;-84;8.23801589444064;Far
3.0;18:08:16;-78;7.96574892117273;Far
3.0;18:08:17;-69;6.5084255099121;Far
3.0;18:08:18;-70;5.69894305291121;Far
3.0;18:08:19;-68;4.88393077263385;Far
3.0;18:08:20;-68;4.30391855893053;Far
3.0;18:08:21;-69;3.94067687866629;Near
3.0;18:08:22;-68;3.58384278438624;Near
3.0;18:08:23;-68;3.29793461574891;Near
3.0;18:08:24;-67;3.01070917385661;Near
3.0;18:08:25;-67;2.77776805191047;Near
3.0;18:08:26;-67;2.58498541663941;Near
3.0;18:08:27;-68;2.45991713450914;Near
3.0;18:08:28;-68;2.35056892672704;Near
3.0;18:08:29;-69;2.28437618129504;Near
3.0;18:08:30;-69;2.2245810763861;Near
3.0;18:08:31;-69;2.1705147768106;Near
3.0;18:08:32;-70;2.14673856330705;Near
3.0;18:08:33;-69;2.09976280644474;Near
3.0;18:08:34;-70;2.08196145228763;Near
3.0;18:08:35;-70;2.06557491295644;Near
3.0;18:08:36;-71;2.07257557132504;Near
3.0;18:08:37;-71;2.07912213292906;Near
3.0;18:08:38;-71;2.08521536713166;Near
3.0;18:08:39;-73;2.13022121426979;Near
3.0;18:08:40;-72;2.15392716843241;Near
3.0;18:08:41;-71;2.15397018704915;Near
3.0;18:08:42;-68;2.07153575600375;Near
3.0;18:08:43;-68;2.00110278148693;Near
3.0;18:08:44;-69;1.96728119999028;Near
3.0;18:08:45;-69;1.93711057971245;Near
3.0;18:08:46;-70;1.9334188494353;Near
3.0;18:08:47;-71;1.95104079319154;Near
3.0;18:08:48;-70;1.94602047292633;Near
3.0;18:08:49;-70;1.94144847649894;Near
3.0;18:08:50;-76;2.03662682480643;Near
3.0;18:08:51;-74;2.10324154839311;Near
