proximityRef;time;proximity;rssi;accuracy
4.0;0;3;-75;3.70022800948463
4.0;1;3;-76;3.74289188368391
4.0;2;3;-78;3.86850790690904
4.0;3;3;-80;4.05099106773208
4.0;4;3;-79;4.18383330804482
4.0;5;3;-78;4.2655789364196
4.0;6;3;-80;4.41106816946321
4.0;7;3;-80;4.54634395101287
4.0;8;3;-80;4.67240182528986
4.0;9;3;-81;4.82192511697698
4.0;10;3;-82;4.99262887928935
4.0;11;3;-83;5.18292443735063
4.0;12;3;-83;5.36708077997833
4.0;13;3;-81;5.48376408030426
4.0;14;3;-82;5.6271696730518
4.0;15;3;-81;5.73061995313599
4.0;16;3;-79;5.74699249494869
4.0;17;3;-80;5.80457772766133
4.0;18;3;-78;5.75522749844078
4.0;19;3;-78;5.70127111324203
4.0;20;3;-78;5.64711631389962
4.0;21;3;-77;5.49231041810967
4.0;22;3;-77;5.36448480854423
4.0;23;3;-77;5.26257711634077
4.0;24;3;-76;5.09157757698251
4.0;25;3;-77;5.03882863816116
4.0;26;3;-76;4.92343642178966
4.0;27;3;-76;4.83008190684224
4.0;28;3;-75;4.68660615643823
4.0;29;3;-75;4.56871568378201
4.0;30;3;-75;4.46993392912003
4.0;31;3;-75;4.38582633049656
4.0;32;3;-75;4.31328789014529
4.0;33;3;-75;4.2499657886977
4.0;34;3;-75;4.19420105272881
4.0;35;3;-75;4.14470023232688
4.0;36;3;-75;4.10046083853267
4.0;37;3;-74;4.01766137342989
4.0;38;3;-75;3.98534921202829
4.0;39;3;-75;3.95597591550379
4.0;40;3;-75;3.92918327551843
4.0;41;3;-75;3.90467222579004
4.0;42;3;-75;3.88219131921158
4.0;43;3;-79;3.97562636478519
4.0;44;3;-75;3.94779905824374
4.0;45;3;-74;3.88399994437025
4.0;46;3;-74;3.82638661018438
4.0;47;3;-74;3.77415599095591
4.0;48;3;-73;3.68757334291781
4.0;49;3;-73;3.61012240069652
4.0;50;3;-73;3.54048067441442
4.0;51;3;-73;3.47761821258675
4.0;52;3;-74;3.45466152732997
4.0;53;3;-74;3.43342783241227
4.0;54;3;-74;3.41376629801339
4.0;55;3;-74;3.39555981002104
4.0;56;3;-74;3.37869807280063
4.0;57;3;-74;3.3630701030626
4.0;58;3;-75;3.37784443588997
4.0;59;3;-75;3.39176326481415
