mu_distance;sigma_distance;mu_accuracy;sigma_accuracy
0.5;0.49581;0.74464;0.43007
1;0.27366;1.0185;0.27302
1.5;0.40415;1.5105;0.40401
2;1.6601;2.9459;1.3587
3;0.94588;2.2468;0.5637
4;0.85961;4.3838;0.76756
5;1.7493;3.4299;0.7437
6;2.0538;5.202;1.8895
7;1.9685;5.2893;0.94798
8;2.8236;5.5034;1.2782
9;0.94037;8.4645;0.76988
10;2.0266;9.3837;1.929
14.5;6.2484;8.3872;1.0211
