proximityRef;timestamp;rssi;accuracy;proximity
5.0;16:37:03;-79;4.61182046393014;Far
5.0;16:37:04;-77;4.61534428405195;Far
5.0;16:37:05;-76;4.55061992871147;Far
5.0;16:37:06;-76;4.49836649639348;Far
5.0;16:37:07;-77;4.51166264000691;Far
5.0;16:37:08;-79;4.6148978476569;Far
5.0;16:37:09;-80;4.74675630662157;Far
5.0;16:37:10;-83;4.9615017520269;Far
5.0;16:37:11;-83;5.16750147608284;Far
5.0;16:37:12;-85;5.41503243902504;Far
5.0;16:37:13;-86;5.67881244810128;Far
5.0;16:37:14;-87;5.95873427570885;Far
5.0;16:37:15;-86;6.21356898767129;Far
5.0;16:37:16;-86;6.46344677707827;Far
5.0;16:37:17;-88;6.75365160648493;Far
5.0;16:37:18;-88;7.04143150379592;Far
5.0;16:37:19;-88;7.32640777026398;Far
5.0;16:37:20;-89;7.63054559873639;Far
5.0;16:37:21;-89;7.93267492546662;Far
5.0;16:37:22;-90;8.25448052946761;Far
5.0;16:37:23;-91;8.59555839427367;Far
5.0;16:37:24;-91;8.93663234467604;Far
5.0;16:37:25;-91;9.27727558815756;Far
5.0;16:37:26;-91;9.6170176853548;Far
5.0;16:37:27;-91;9.95565558304834;Far
5.0;16:37:28;-92;10.3161201773555;Far
5.0;16:37:29;-93;10.6978973045956;Far
5.0;16:37:30;-93;11.080390779332;Far
5.0;16:37:31;-93;11.4632064163581;Far
5.0;16:37:32;-88;11.6823146759681;Far
5.0;16:37:33;-85;11.7345846522842;Far
5.0;16:37:34;-87;11.8966440748775;Far
5.0;16:37:35;-88;12.100645116985;Far
5.0;16:37:36;-88;12.299162342489;Far
5.0;16:37:37;-88;12.4923075403021;Far
5.0;16:37:38;-89;12.7246055898939;Far
5.0;16:37:39;-86;12.7976799282689;Far
5.0;16:37:40;-85;12.8026300417575;Far
5.0;16:37:41;-83;12.6539485829271;Far
5.0;16:37:42;-83;12.516065248775;Far
5.0;16:37:43;-82;12.3022674742285;Far
5.0;16:37:44;-82;12.1055090890901;Far
5.0;16:37:45;-82;11.9237945547673;Far
5.0;16:37:46;-82;11.7554410123684;Far
5.0;16:37:47;-83;11.6731992505142;Far
5.0;16:37:48;-81;11.4410144604122;Far
5.0;16:37:49;-81;11.2272970565258;Far
5.0;16:37:50;-82;11.1054637701895;Far
5.0;16:37:51;-82;10.991109839969;Far
5.0;16:37:52;-82;10.8836035363505;Far
5.0;16:37:53;-82;10.7824186069972;Far
5.0;16:37:54;-82;10.6869944978301;Far
5.0;16:37:55;-81;10.528368444911;Far
5.0;16:37:56;-81;10.3803028508285;Far
5.0;16:37:57;-81;10.241818769495;Far
5.0;16:37:58;-81;10.1120666159732;Far
5.0;16:37:59;-81;9.99028903018834;Far
5.0;16:38:00;-81;9.87584597262324;Far
5.0;16:38:01;-80;9.70118660215422;Far
5.0;16:38:02;-80;9.53886348214695;Far
