proximityRef;timestamp;rssi;accuracy;proximity
8.0;16:43:18;-73;3.48280193847783;Far
8.0;16:43:19;-73;3.36657946277765;Far
8.0;16:43:20;-75;3.39331406377377;Far
8.0;16:43:21;-75;3.41520216001211;Far
8.0;16:43:22;-75;3.43348724275831;Far
8.0;16:43:23;-76;3.48957935457929;Far
8.0;16:43:24;-76;3.53893973632622;Far
8.0;16:43:25;-76;3.58271800248791;Far
8.0;16:43:26;-76;3.62182426299425;Far
8.0;16:43:27;-77;3.69062476283911;Far
8.0;16:43:28;-77;3.75387386117476;Far
8.0;16:43:29;-76;3.77831553798401;Far
8.0;16:43:30;-76;3.80051133882671;Far
8.0;16:43:31;-76;3.82076659957365;Far
8.0;16:43:32;-76;3.83930220679782;Far
8.0;16:43:33;-78;3.91771677983766;Far
8.0;16:43:34;-79;4.01849313948115;Far
8.0;16:43:35;-79;4.11517651219161;Far
8.0;16:43:36;-78;4.17970532598579;Far
8.0;16:43:37;-79;4.26922041681068;Far
8.0;16:43:38;-77;4.29275432204834;Far
8.0;16:43:39;-75;4.23711134916972;Far
8.0;16:43:40;-75;4.18699949091178;Far
8.0;16:43:41;-76;4.18002326024661;Far
8.0;16:43:42;-75;4.1355874269036;Far
8.0;16:43:43;-75;4.09514448338098;Far
8.0;16:43:44;-76;4.09443108997293;Far
8.0;16:43:45;-76;4.09376699535868;Far
8.0;16:43:46;-76;4.0931485739008;Far
8.0;16:43:47;-76;4.09257222037308;Far
8.0;16:43:48;-76;4.09203445233989;Far
8.0;16:43:49;-76;4.09153221404819;Far
8.0;16:43:50;-76;4.09106340048253;Far
8.0;16:43:51;-77;4.12238752253239;Far
8.0;16:43:52;-78;4.18080030574962;Far
8.0;16:43:53;-78;4.23683034742542;Far
8.0;16:43:54;-79;4.31734936494086;Far
8.0;16:43:55;-79;4.39524867766428;Far
8.0;16:43:56;-79;4.47050222417546;Far
8.0;16:43:57;-77;4.48087565711647;Far
8.0;16:43:58;-77;4.49061039757072;Far
8.0;16:43:59;-78;4.53259368175743;Far
8.0;16:44:00;-78;4.57252317702537;Far
8.0;16:44:01;-78;4.61046963351569;Far
8.0;16:44:02;-77;4.61237343299883;Far
8.0;16:44:03;-78;4.64818966598168;Far
8.0;16:44:04;-78;4.68220038488717;Far
8.0;16:44:05;-78;4.71447419238918;Far
8.0;16:44:06;-78;4.74508307418533;Far
8.0;16:44:07;-77;4.7386907235363;Far
8.0;16:44:08;-77;4.73271885050066;Far
8.0;16:44:09;-78;4.76216583575719;Far
8.0;16:44:10;-78;4.79011224993337;Far
8.0;16:44:11;-77;4.78095928172434;Far
8.0;16:44:12;-78;4.80785189463894;Far
8.0;16:44:13;-78;4.83335735262618;Far
8.0;16:44:14;-78;4.85753508039908;Far
8.0;16:44:15;-78;4.88044391612349;Far
8.0;16:44:16;-78;4.902142659066;Far
8.0;16:44:17;-78;4.92268620195903;Far
