proximityRef;avgRSSI;avgAccuracy;avgProximity
0.5;-59;0.45;2
1;-62;0.74;2
1.5;-68;1.47;2
2;-71;1.95;2
3;-75;3.12;3
4;-73;2.79;3
5;-85;9.33;3
6;-88;14.86;3
7;-77;4.99;3
8;-77;4.22;3
9;-84;11.06;3
10;-89;17.42;3
15;-85;12.50;3
20;-90;23.58;3
25;-86;13.84;3
30;-88;19.43;3
