stepRef;distanceRef;steps;distance;speed;stepError;distanceError
13.1;10.0;11.8;9.3;2.026;1.3;0.7
25.5;20.0;23.6;18.29;1.27;1.9;1.7
39.4;30.0;35.5;26.60;1.2;3.9;3.4
