rssi;accuracy;proximity
-75;4,42;3
-75;4,36;3
-75;4,31;3
-75;4,26;3
-75;3,39;3
-75;3,42;3
-75;3,43;3
-75;4,24;3
-75;4,19;3
-75;4,14;3
-75;4,10;3
-76;3,99;3
-76;3,97;3
-76;3,73;3
-76;3,75;3
-76;3,77;3
-76;3,83;3
-76;3,85;3
-76;3,87;3
-76;4,00;3
-76;2,57;2
-76;4,55;3
-76;4,50;3
-76;4,82;3
-76;4,77;3
-76;4,73;3
-76;4,53;3
-76;4,50;3
-76;4,61;3
-76;4,72;3
-76;4,67;3
-76;4,63;3
-76;3,49;3
-76;3,54;3
-76;3,58;3
-76;3,62;3
-76;3,78;3
-76;3,80;3
-76;3,82;3
-76;3,84;3
-76;4,18;3
-76;4,09;3
-76;4,09;3
-76;4,09;3
-76;4,09;3
-76;4,09;3
-76;4,09;3
-76;4,09;3
-77;3,82;3
-77;3,89;3
-77;3,91;3
-77;3,95;3
-77;3,99;3
-77;4,62;3
-77;4,51;3
-77;4,60;3
-77;4,97;3
-77;3,69;3
-77;3,75;3
-77;4,29;3
-77;4,12;3
-77;4,48;3
-77;4,49;3
-77;4,61;3
-77;4,74;3
-77;4,73;3
-77;4,78;3
-78;2,51;2
-78;2,68;3
-78;3,51;3
-78;3,91;3
-78;3,98;3
-78;6,74;3
-78;4,54;3
-78;4,58;3
-78;4,62;3
-78;4,88;3
-78;4,90;3
-78;4,97;3
-78;4,99;3
-78;3,92;3
-78;4,18;3
-78;4,18;3
-78;4,24;3
-78;4,53;3
-78;4,57;3
-78;4,61;3
-78;4,65;3
-78;4,68;3
-78;4,71;3
-78;4,75;3
-78;4,76;3
-78;4,79;3
-78;4,81;3
-78;4,83;3
-78;4,86;3
-78;4,88;3
-78;4,90;3
-78;4,92;3
-79;2,81;3
-79;2,93;3
-79;3,06;3
-79;3,18;3
-79;3,30;3
-79;3,42;3
-79;3,62;3
-79;3,73;3
-79;3,83;3
-79;4,61;3
-79;4,61;3
-79;6,85;3
-79;6,78;3
-79;7,00;3
-79;6,93;3
-79;6,86;3
-79;4,88;3
-79;4,68;3
-79;4,74;3
-79;4,68;3
-79;4,74;3
-79;4,80;3
-79;4,86;3
-79;4,95;3
-79;4,02;3
-79;4,12;3
-79;4,27;3
-79;4,32;3
-79;4,40;3
-79;4,47;3
-80;4,75;3
-80;9,70;3
-80;9,54;3
-81;11,44;3
-81;11,23;3
-81;10,53;3
-81;10,38;3
-81;10,24;3
-81;10,11;3
-81;9,99;3
-81;9,88;3
-81;4,71;3
-81;4,82;3
-81;11,31;3
-81;11,04;3
-81;10,67;3
-82;12,30;3
-82;12,11;3
-82;11,92;3
-82;11,76;3
-82;11,11;3
-82;10,99;3
-82;10,88;3
-82;10,78;3
-82;10,69;3
-82;14,50;3
-82;10,24;3
-82;12,11;3
-82;11,85;3
-82;11,62;3
-82;10,90;3
-82;10,56;3
-82;10,46;3
-82;15,05;3
-82;14,62;3
-83;4,96;3
-83;5,17;3
-83;12,65;3
-83;12,52;3
-83;11,67;3
-83;14,92;3
-83;14,08;3
-83;13,85;3
-83;13,64;3
-83;13,45;3
-83;10,37;3
-83;10,34;3
-83;10,22;3
-83;12,42;3
-83;10,44;3
-83;10,41;3
-83;10,39;3
-83;10,37;3
-83;10,36;3
-83;10,34;3
-83;13,41;3
-83;13,01;3
-83;12,68;3
-83;12,41;3
-83;12,19;3
-83;12,20;3
-83;12,09;3
-83;10,56;3
-83;10,52;3
-83;10,49;3
-83;14,36;3
-83;14,11;3
-84;14,33;3
-84;14,28;3
-84;14,13;3
-84;10,10;3
-84;10,18;3
-84;10,39;3
-84;10,28;3
-84;11,69;3
-84;11,68;3
-84;11,98;3
-84;12,14;3
-84;12,08;3
-84;10,38;3
-84;10,42;3
-84;10,46;3
-84;10,50;3
-84;10,53;3
-84;12,13;3
-84;12,07;3
-84;12,02;3
-84;12,03;3
-84;12,57;3
-84;12,51;3
-84;12,46;3
-84;12,41;3
-84;12,36;3
-84;12,31;3
-84;12,76;3
-84;10,54;3
-84;10,59;3
-85;5,42;3
-85;11,73;3
-85;12,80;3
-85;13,18;3
-85;13,16;3
-85;9,82;3
-85;10,01;3
-85;10,33;3
