timestamp;particleWeightSum;particleDiversity;measurementCount
9.0618080496788;5.02794185608387;0.275;1
10.0620740056038;19.8897147031711;0.43;1
11.0617470145226;27.8779661669931;0.45;1
12.0619520545006;28.8201726404005;0.5;1
14.0617790222168;33.4826950689126;0.475;1
14.0670120120049;33.2406551268204;0.48;1
15.0619400143623;38.4196262320218;0.49;1
16.0708140134811;38.7489885881138;0.465;1
17.0697550177574;32.4801995313876;0.475;1
18.0652240514755;36.2392667882946;0.465;1
25.0843890309334;3.92557925203887;0.416243654822335;1
25.0961240530014;3.57570486920526;0.45;1
25.1089270114899;0.584142411478205;0.385;2
25.1233810186386;0.839594143485799;0.42;2
25.1409440040588;0.657078454127647;0.475;2
25.1627750396729;0.0914142355877641;0.475;3
28.070641040802;0.056752119217945;0.455;3
28.0837240219116;0.03616782766089;0.505;3
28.1053770184517;0.17246047004261;0.48;3
30.0781890153885;0.0575180794366402;0.480769230769231;3
30.1195090413094;19.3339350567137;0.497142857142857;1
33.0697710514069;26.6931186856606;0.487309644670051;1
33.1065210103989;21.7052092418264;0.503184713375796;1
35.1132550239563;1.26539897923325;0.7;1
35.1218340396881;39.8527328839696;0.53;1
38.0786810517311;23.261519517077;0.475;1
38.0893990397453;1.61238353159361;0.235;1
38.1194050312042;0.000307042349265343;0.0887573964497041;2
40.067665040493;0.299966211767396;0.435;2
41.0740340352058;0.469206263782016;0.48;2
42.0674230456352;0.473117423030396;0.47;2
43.0807420015335;0.373955215883226;0.46;2
44.0677550435066;0.32638418110402;0.47;2
47.0805670022964;0.310202256172199;0.46;2
47.0876060128212;0.274706289413137;0.47;2
47.0942320227623;0.278806405467785;0.495;2
48.0741890072823;0.282412422635181;0.435;2
49.0744300484657;0.312736939718243;0.45;2
50.080431997776;0.347975062442934;0.405;2
51.0706100463867;0.45506345674439;0.435;2
52.0802980065346;0.584013271380457;0.435;2
53.0670250058174;0.720125369633752;0.465;2
54.0769480466843;0.836440348702744;0.43;2
55.0804030299187;0.944888098637114;0.46;2
57.07334202528;1.05275394354435;0.48;2
57.0819310545921;0.992623591846743;0.44;2
58.071359038353;1.0610194590838;0.465;2
59.0807870030403;1.08483966488559;0.48;2
60.0688390135765;1.1533549958769;0.48;2
61.0731199979782;1.22974166341144;0.46;2
62.0741940140724;1.24856902415276;0.485;2
63.0797340273857;1.2094838953145;0.48;2
71.0737220048904;1.18157948686527;0.49;2
71.0800090432167;1.21751465697127;0.505;2
71.0858660340309;1.22045083285348;0.48;2
71.091747045517;1.2695278240804;0.49;2
71.0996710062027;1.75737095823045;0.5;2
71.1115429997444;0.154516936581716;0.195876288659794;2
71.1435530185699;0.276106305832852;0.448275862068966;2
73.0848680138588;0.264858330343714;0.425;2
73.0985540151596;0.202211836301785;0.465;2
76.0731040239334;12.4212350108886;0.49;1
76.0857850313187;11.9022161730906;0.455;1
76.0952500104904;12.0639339749648;0.47;1
76.098091006279;97.795;0.49;0
76.1009920239449;106.705;0.49;0
76.1038410067558;98.27;0.49;0
76.1076730489731;107.035;0.52;0
76.1111010313034;97.9;0.485;0
76.1140699982643;100.215;0.49;0
76.1169260144234;105.29;0.49;0
78.0776110291481;100.585;0.49;0
78.081552028656;98.925;0.505;0
78.0849070549011;95.87;0.48;0
78.0877950191498;99.97;0.48;0
78.090804040432;105.245;0.475;0
78.093730032444;98.41;0.5;0
78.0966230034828;94.565;0.485;0
78.0995200276375;94.39;0.49;0
78.1024830341339;100.63;0.475;0
78.1053550243378;99.425;0.52;0
78.1083360314369;95.525;0.47;0
78.1112200021744;101.28;0.48;0
78.1140730381012;102.27;0.505;0
78.1169770359993;99.995;0.49;0
78.1198540329933;91.05;0.485;0
78.1227280497551;97.92;0.495;0
78.125628054142;108.235;0.485;0
78.1285480260849;98.21;0.445;0
78.1313990354538;97.985;0.46;0
78.1342130303383;95.47;0.48;0
78.1370159983635;95.65;0.47;0
78.1397930383682;101.47;0.485;0
78.1425510048866;103.25;0.455;0
78.1452850103378;103.31;0.46;0
78.1479440331459;90.71;0.475;0
78.1508640050888;103.02;0.485;0
78.1539910435677;99.54;0.485;0
